job_link,min_salary,max_salary,ave_salary
https://www.linkedin.com/jobs/view/aws-data-engineer-at-lti-larsen-toubro-infotech-3718986845,,,
https://uk.linkedin.com/jobs/view/datacentre-technician-at-mfa-talent-services-3790034142,,,
https://www.linkedin.com/jobs/view/senior-data-scientist-at-adobe-3800099000,140200.0,,140200.0
https://www.linkedin.com/jobs/view/traveling-mep-manager-msg-data-centers-at-turner-construction-company-3805501280,,,
https://ca.linkedin.com/jobs/view/lead-data-scientist-at-clickjobs-io-3805142907,,,
https://www.linkedin.com/jobs/view/data-engineer-mastery-at-jobs-for-humanity-3797114260,,,
https://www.linkedin.com/jobs/view/data-engineer-at-outdefine-3805524945,,,
https://www.linkedin.com/jobs/view/data-engineer-analyst-at-squad-techlab-3768734796,,,
https://www.linkedin.com/jobs/view/staff-data-engineer-at-sipe-education-3757941996,175000.0,225000.0,200000.0
https://www.linkedin.com/jobs/view/data-reporting-and-analytics-consultant-ii-biostatistician-epidemiologic-research-at-kaiser-permanente-3782511789,,,
https://www.linkedin.com/jobs/view/manager-data-analyst-at-kpmg-us-3790112552,,,
https://www.linkedin.com/jobs/view/data-analyst-at-aver-llc-3787728855,,,
https://uk.linkedin.com/jobs/view/senior-data-analyst-at-level-11-3803890937,,,
https://au.linkedin.com/jobs/view/data-and-reporting-analyst-at-talent-3779063059,,,
https://www.linkedin.com/jobs/view/data-analyst-privacy-kiewit-technology-group-at-kiewit-3803804596,,,
https://www.linkedin.com/jobs/view/staff-business-data-analyst-at-intuit-3754943448,,,
https://www.linkedin.com/jobs/view/manager-cyber-risk-analysis-machine-learning-at-jobs-for-humanity-3804323607,160200.0,182800.0,171500.0
https://www.linkedin.com/jobs/view/staff-data-engineer-at-bp-3703467987,,,
https://uk.linkedin.com/jobs/view/data-manager-at-harnham-3805211037,,,
https://www.linkedin.com/jobs/view/senior-data-analyst-on-site-at-hepco-inc-3804618016,,,
https://www.linkedin.com/jobs/view/machine-learning-software-developer-software-engineer-3-17346-at-mission-technologies-a-division-of-hii-3789912709,,,
https://www.linkedin.com/jobs/view/researcher-for-ai-application-cv-nlp-data-mining-at-fedml-3711899105,,,
https://www.linkedin.com/jobs/view/staff-machine-learning-engineer-identity-at-stripe-3777437908,253500.0,380300.0,316900.0
https://www.linkedin.com/jobs/view/database-architect-at-pangeatwo-3771612618,130000.0,150000.0,140000.0
https://www.linkedin.com/jobs/view/volunteer-website-maintenance-content-manager-joomla-required-at-volunteermatch-3803988630,,,
https://www.linkedin.com/jobs/view/senior-data-scientist-at-geisinger-3683867532,,,
https://www.linkedin.com/jobs/view/python-data-engineer-at-logic20-20-inc-3789087486,130000.0,173000.0,151500.0
https://www.linkedin.com/jobs/view/sr-data-architect-at-job-juncture-3794552852,,,
https://www.linkedin.com/jobs/view/data-architect-at-dice-3805515766,,,
https://www.linkedin.com/jobs/view/cloud-data-architect-at-onix-3757499682,,,
https://www.linkedin.com/jobs/view/data-crm-specialist-at-creative-circle-3800471481,,,
https://www.linkedin.com/jobs/view/data-engineer-at-scipher-medicine-3796711346,,,
https://www.linkedin.com/jobs/view/data-analyst-at-stellar-professionals-3690575844,,,
https://www.linkedin.com/jobs/view/data-engineer-at-intelletec-3646977344,,,
https://www.linkedin.com/jobs/view/senior-data-engineer-at-walmart-3739239796,117000.0,,117000.0
https://www.linkedin.com/jobs/view/data-scientist-at-affinipay-3805239563,,,
https://www.linkedin.com/jobs/view/sr-mlops-engineer-at-dice-3805516669,,,
https://www.linkedin.com/jobs/view/database-manager-at-saic-3790089182,125001.0,150000.0,137500.5
https://www.linkedin.com/jobs/view/senior-data-analyst-at-monogram-3794091195,,,
https://www.linkedin.com/jobs/view/data-scientist-at-adp-3785123864,,,
https://www.linkedin.com/jobs/view/aws-data-architect-at-enfycon-inc-3785665545,,,
https://www.linkedin.com/jobs/view/data-analyst-i-at-apex-systems-3799897425,,,
https://www.linkedin.com/jobs/view/sr-data-architect-at-honeywell-3796782457,,,
https://www.linkedin.com/jobs/view/data-scientist-at-intellectt-inc-3715868910,,,
https://www.linkedin.com/jobs/view/datacenter-analyst-at-volt-3804370119,62400.0,64480.0,63440.0
https://www.linkedin.com/jobs/view/data-analyst-tss-at-sgs-3790904167,,,
https://www.linkedin.com/jobs/view/gcp-data-architect-at-cloudmr-3801088435,,,
https://www.linkedin.com/jobs/view/big-data-lead-at-erpmark-inc-3793686552,,,
https://www.linkedin.com/jobs/view/data-architect-at-jobot-3804688442,135000.0,175000.0,155000.0
https://www.linkedin.com/jobs/view/data-analyst-iv-at-dice-3802938897,,,
https://www.linkedin.com/jobs/view/data-scientist-at-dezign-concepts-3801963270,53300.0,,53300.0
https://uk.linkedin.com/jobs/view/data-analyst-at-creditsafe-3783680552,,,
https://www.linkedin.com/jobs/view/lead-data-analyst-at-dice-3802125799,,,
https://www.linkedin.com/jobs/view/lead-data-scientist-at-vistra-corp-3774883560,,,
https://www.linkedin.com/jobs/view/teradata-architect-at-dice-3804439352,,,
https://www.linkedin.com/jobs/view/data-architect-at-dice-3805516496,,,
https://www.linkedin.com/jobs/view/teradata-architect-at-hcltech-3802265553,,,
https://www.linkedin.com/jobs/view/data-analyst-iii-at-winmax-3766064332,131040.0,,131040.0
https://www.linkedin.com/jobs/view/data-analyst-at-kforce-inc-3795106424,110240.0,118560.0,114400.0
https://www.linkedin.com/jobs/view/data-engineer-at-itech-solutions-3714398243,,,
https://www.linkedin.com/jobs/view/data-analyst-i-at-winmax-3742062438,,,
https://www.linkedin.com/jobs/view/sr-data-scientist-at-dice-3805519535,,,
https://www.linkedin.com/jobs/view/senior-database-architect-%232028-at-genius-road-3797770553,,,
https://www.linkedin.com/jobs/view/gsc-database-lead-mtccs-ii-at-athenix-special-missions-formerly-vatc-3742832812,,,
https://www.linkedin.com/jobs/view/data-center-senior-program-manager-delivery-of-network-and-data-center-capacity-builds-at-oracle-3797072599,87800.0,199500.0,143650.0
https://www.linkedin.com/jobs/view/neighborhood-branch-leader-brighton-nmls-at-canvas-credit-union-3787490794,71633.0,,71633.0
https://www.linkedin.com/jobs/view/cloud-data-architect-at-infosys-3787413335,,,
https://www.linkedin.com/jobs/view/senior-datacenter-product-development-engineer-at-nvidia-3766473360,,,
https://www.linkedin.com/jobs/view/commissioning-senior-specialist-data-center-travel-required-at-olsson-3793249737,,,
https://www.linkedin.com/jobs/view/medical-technologist-mt-mlt-core-lab-middletown-part-time-evenings-at-kettering-health-3590617029,60000.0,,60000.0
https://www.linkedin.com/jobs/view/staff-engineer-test-data-and-instrumentation-at-rivian-3628359506,150000.0,173000.0,161500.0
https://www.linkedin.com/jobs/view/data-editor-indg-at-bloomberg-industry-group-3768733084,,,
https://www.linkedin.com/jobs/view/data-center-hr-business-partner-at-ada-infrastructure-3788208614,,,
https://www.linkedin.com/jobs/view/medical-technologist-mt-mlt-competitive-package-at-connected-health-care-3806784228,,,
https://www.linkedin.com/jobs/view/njdoh-database-manager-administrator-3-badisa-%23-20-01040-at-hiretalent-diversity-staffing-recruiting-firm-3764248246,,,
